image_name,buffer,transcript,average_snr,snr_stdv,lower_95_confidence,upper_95_confidence
210221_Image_05,Homebrew,nos-2,4.880387798,1.505266836,4.84908436,4.911691236
210221_Image_06,Homebrew,nos-2,4.862948478,1.599677562,4.830488403,4.895408552
210221_Image_07,Homebrew,nos-2,4.091272465,1.047404952,4.071340295,4.111204634
210209_Image_01,Stellaris,set-3,10.85199483,4.171485385,10.6322697,11.07171996
210209_Image_02,Stellaris,set-3,12.71171557,5.140074943,12.21023847,13.21319267
210209_Image_03,Stellaris,set-3,13.35393548,4.564755715,12.94624522,13.76162573
210209_Image_04,Stellaris,set-3,14.10605323,5.042563693,13.8181677,14.39393877
210209_Image_05,Stellaris,set-3,11.97662754,5.336021683,11.38223092,12.57102415
210214_Image_01,Stellaris,set-3,8.992031733,2.582390181,8.686029923,9.298033543
210214_Image_02,Stellaris,set-3,11.31878589,3.996256647,11.00076416,11.63680761
210214_Image_03,Stellaris,set-3,11.12649444,3.657951449,10.78138727,11.47160161
210221_Image_03,Stellaris,set-3,11.96332261,3.53039642,11.58672218,12.33992304
210221_Image_02,Stellaris,set-3,12.10119059,3.22840139,11.69659575,12.50578543
210221_Image_01,Stellaris,set-3,12.09739055,3.95396311,11.83213876,12.36264234
210221_Image_04,Stellaris,set-3,13.0859807,4.750380476,12.75144459,13.42051681
210221_Image_05,Stellaris,set-3,14.49890425,4.928034599,14.1247978,14.87301071
210221_Image_06,Stellaris,set-3,15.33690882,5.400582533,14.75297236,15.92084527
210221_Image_07,Stellaris,set-3,12.3846084,4.383546287,12.09258354,12.67663327
210209_Image_01,Homebrew,set-3,10.03296391,4.101868717,9.822745868,10.24318195
210209_Image_02,Homebrew,set-3,9.911597101,3.986254856,9.718528404,10.1046658
210209_Image_03_upper_left,Homebrew,set-3,11.51617365,4.518692277,11.2400258,11.7923215
210209_Image_03_bottom,Homebrew,set-3,9.711190988,3.656840573,9.516739421,9.905642556
210209_Image_04,Homebrew,set-3,9.500118622,3.57683543,9.320456323,9.67978092
210214_Image_01,Homebrew,set-3,11.7476133,4.448641742,11.43983993,12.05538668
210214_Image_02,Homebrew,set-3,13.67300133,4.726564306,13.14305948,14.20294318
210214_Image_03,Homebrew,set-3,13.42198584,4.540771778,13.13117866,13.71279302
210221_Image_01,Homebrew,set-3,10.78542178,3.335702729,10.43624959,11.13459398
210221_Image_02,Homebrew,set-3,9.555925048,3.007659088,9.369751913,9.742098183
210221_Image_03,Homebrew,set-3,10.9988023,3.496710077,10.78104999,11.2165546
210221_Image_04,Homebrew,set-3,10.4648088,3.67404784,10.26069075,10.66892685
210221_Image_05,Homebrew,set-3,10.85631533,3.598333959,10.63324561,11.07938504
210221_Image_06,Homebrew,set-3,10.53006168,3.611977551,10.30524471,10.75487864
210221_Image_07,Homebrew,set-3,8.95539745,2.661958806,8.808681886,9.102113013
