gene_id	expo_rep1	expo_rep2	stat_rep1	stat_rep2
TK1397	4470	585	3129	428
TK1398	85	10	38	25
TK1399	5169	546	1273	402
TK1400	3311	395	1320	244
TK1401	2480	286	1306	153
TK1402	973	136	2658	328
TK1403	9346	1613	3669	605
TK1404	2195	723	2054	354
TK1405	17010	4173	33251	3960
TK1406	12566	1463	7420	840
TK1407	5604	714	1735	108
TK1408	18800	2235	13150	3513
TK1409	605	115	350	42
TK1410	68175	12089	55576	9686
TK1411	11635	2402	10773	1715
TK1412	1469	191	925	714
TK1413	49944	12954	33623	4153
TK1414	735	116	535	135
TK1415	47415	7668	26731	4022
TK1416	123376	18353	64273	7991
TK1417	80198	13101	37836	7597
TK1418	46468	6335	33051	5892
TK1419	9869	1697	7959	1398
TK1420	2092	436	1360	367
TK1421	29663	5485	19130	6004
TK1422	2755	677	2237	579
TK1423	790	199	851	115
TK1424	4954	1203	5447	726
TK1425	869	307	1045	255
TK1426	11554	1552	6973	1440
TK1427	4877	606	1853	439
TK1428	66051	7345	24514	3545
TK1429	14480	1529	5137	1518
TK1430	6389	1236	4585	1044
TK1431	101435	53927	220622	30371
TK1432	3698	1883	1333	900
TK1433	52	25	23	8
TK1434	2332	808	1122	253
TK1435	584	133	355	134
TK1436	4514	556	1293	285
TK1437	145	39	87	48
TK1438	3192	671	2551	770
TK1439	969	279	661	185
TK1440	1287	215	955	188
TK1441	1297	211	1121	199
TK1442	1918	139	1439	261
TK1443	119	11	117	8
TK1444	71	12	80	10
TK1445	85	16	116	12
TK1446	212	13	207	22
TK1447	137	17	115	25
TK1448	112	23	130	10
TK1449	120	32	114	21
TK1450	1146	241	874	227
TK1451	887	148	856	260
TK1452	444	35	797	291
TK1453	3908	278	3653	460
TK1454	24101	2959	11555	2541
TK1455	2484	525	1920	389
TK1456	4837	868	4478	968
TK1457	2999	529	2286	720
TK1458	820	196	348	70
TK1459	6220	123	24625	11524
TK1460	23666	4303	28641	5205
TK1461	24464	2196	12571	3969
TK1462	137	8	925	375
TK1463	1980	286	41180	9499
TK1464	189	87	111	44
TK1465	859	580	622	146
TK1466	1101	343	1442	396
TK1467	999	133	643	170
TK1468	14538	2315	7215	1432
TK1469	13241	2437	6397	774
TK1470	5072	954	4768	1179
TK1471	2827	473	1852	484
TK1472	1241	180	1596	231
TK1473	854	103	1077	195
TK1474	2123	295	2798	601
TK1475	569	83	703	148
TK1476	306	80	441	128
TK1477	848	136	740	511
TK1478	716	124	685	234
TK1479	2338	357	2703	653
TK1480	1956	348	2702	382
TK1481	13438	3619	87801	14409
TK1482	9773	1218	8388	1180
TK1483	10376	1094	11120	1329
TK1484	13867	2951	20290	3321
TK1485	1252	919	1573	419
TK1486	10952	2337	8843	1523
TK1487	2024	310	1945	178
TK1488	2013	317	2003	208
TK1489	4986	557	4425	1121
TK1490	965	119	716	196
TK1491	1020	252	1199	247
TK1492	2976	1768	3041	2096
TK1493	4378	825	4881	471
TK1494	1291	211	811	146
TK1495	8536	1190	4160	714
TK1496	28951	3539	15687	1097
TK1497	39697	5197	16141	1945
TK1498	2447	355	1246	226
TK1499	6852	945	4327	1166
TK1500	29234	2947	14043	3273
TK1501	24887	2778	12656	4017
TK1502	9625	1031	4952	1522
TK1503	19381	2355	10977	1941
TK1504	12876	1604	8134	1586
TK1505	34002	4466	20921	5184
TK1506	22376	2486	12379	3829
TK1507	2117	360	1260	570
TK1508	762	201	476	128
TK1509	8214	1406	6419	1303
TK1510	854	165	618	149
TK1511	56	12	47	7
TK1512	2261	235	1286	261
TK1513	22475	2499	13606	2268
TK1514	39260	3614	24816	4879
TK1515	10025	1327	6948	1986
TK1516	7436	1352	4279	777
TK1517	6338	1056	3590	632
TK1518	38201	5363	25465	1366
TK1519	15812	2058	9646	503
TK1520	25007	4024	15839	1113
TK1521	35275	5075	18809	1727
TK1522	18862	2282	9777	862
TK1523	7584	928	3603	370
TK1524	11920	1332	5470	525
TK1525	22351	2808	10407	1217
TK1526	13507	1553	6214	786
TK1527	4536	515	1908	239
TK1528	19606	2419	8411	1334
TK1529	31727	4145	14343	2389
TK1530	8804	1259	4082	783
TK1531	11463	1632	4954	1124
TK1532	10689	1482	5041	1045
TK1533	5868	926	2966	451
TK1534	1278	95	704	55
TK1535	2141	243	957	105
TK1536	19233	3082	10009	1480
TK1537	10773	1282	5811	803
TK1538	12378	1689	6638	983
TK1539	23530	2859	12860	2139
TK1540	3829	545	2077	409
TK1541	20055	2405	10861	2234
TK1542	38174	4532	20561	6782
TK1543	13180	1592	6228	2424
TK1544	2029	414	1432	273
TK1545	4550	579	2363	1043
TK1546	33149	5105	15528	6482
TK1547	1281	418	654	78
TK1548	8147	2102	15083	2200
TK1549	3566	1183	4411	583
TK1550	305	18	763	1001
TK1551	2357	443	1338	404
TK1552	983	227	831	108
TK1553	239	61	143	35
TK1554	539	70	368	54
TK1555	932	245	798	147
TK1556	3830	924	3066	901
TK1557	5511	2915	7406	2071
TK1558	259	60	491	219
TK1559	401	86	467	204
TK1560	128	19	205	44
TK1561	1441	341	680	355
TK1562	10578	2235	6493	1610
TK1563	6437	674	4184	708
TK1564	14	4	16	6
TK1565	994	189	912	236
TK1566	840	81	1017	167
TK1567	22229	4533	18194	3415
TK1568	701	131	988	1168
TK1569	75	14	13	26
TK1570	244	53	129	36
TK1571	2397	628	2140	266
TK1572	429	158	481	130
TK1573	280	123	208	56
TK1574	7812	1340	3262	906
TK1575	687	141	1084	266
TK1576	96	33	823	219
TK1577	860	340	21216	4505
TK1578	543	197	11545	2195
TK1579	554	233	13097	2707
